transporter	TIGRFAM	mainrole	sub1role	go_id	go_name	TIGRFAM_NAME
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor
T10	TIGR01779	Transport and binding proteins	Other	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Other	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Other	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Other	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01779	Transport and binding proteins	Porins	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T10	TIGR01786	Transport and binding proteins	Porins	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T10	TIGR01786	Transport and binding proteins	Porins	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T10	TIGR01786	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
T11	TIGR00950	Transport and binding proteins	Amino acids, peptides and amines			2A78: carboxylate/amino acid/amine transporter
T12	TIGR00883	Transport and binding proteins	Unknown substrate	GO:0005887	integral component of plasma membrane	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
T12	TIGR00883	Transport and binding proteins	Unknown substrate	GO:0006810	transport	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
T12	TIGR00883	Transport and binding proteins	Unknown substrate	GO:0015295	solute:proton symporter activity	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
T12	TIGR00887	Transport and binding proteins	Anions	GO:0006817	phosphate ion transport	2A0109: phosphate:H+ symporter
T12	TIGR00887	Transport and binding proteins	Anions	GO:0015114	phosphate ion transmembrane transporter activity	2A0109: phosphate:H+ symporter
T12	TIGR00879	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005887	integral component of plasma membrane	SP: MFS transporter, sugar porter (SP) family
T12	TIGR00879	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0008643	carbohydrate transport	SP: MFS transporter, sugar porter (SP) family
T12	TIGR00879	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0051119	sugar transmembrane transporter activity	SP: MFS transporter, sugar porter (SP) family
T12	TIGR00898	Transport and binding proteins	Cations and iron carrying compounds			2A0119: cation transport protein
T13	TIGR01191	Protein fate	Protein and peptide secretion and trafficking			ccmC: heme exporter protein CcmC
T13	TIGR01191	Transport and binding proteins	Other			ccmC: heme exporter protein CcmC
T13	TIGR01189	Protein fate	Protein and peptide secretion and trafficking	GO:0043190	ATP-binding cassette (ABC) transporter complex	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01189	Protein fate	Protein and peptide secretion and trafficking	GO:0015439	heme-transporting ATPase activity	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01189	Protein fate	Protein and peptide secretion and trafficking	GO:0015886	heme transport	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01189	Transport and binding proteins	Other	GO:0043190	ATP-binding cassette (ABC) transporter complex	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01189	Transport and binding proteins	Other	GO:0015439	heme-transporting ATPase activity	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01189	Transport and binding proteins	Other	GO:0015886	heme transport	ccmA: heme ABC exporter, ATP-binding protein CcmA
T13	TIGR01190	Protein fate	Protein and peptide secretion and trafficking	GO:0015886	heme transport	ccmB: heme exporter protein CcmB
T13	TIGR01190	Protein fate	Protein and peptide secretion and trafficking	GO:0015232	heme transporter activity	ccmB: heme exporter protein CcmB
T13	TIGR01190	Transport and binding proteins	Other	GO:0015886	heme transport	ccmB: heme exporter protein CcmB
T13	TIGR01190	Transport and binding proteins	Other	GO:0015232	heme transporter activity	ccmB: heme exporter protein CcmB
T14	TIGR01403	Protein fate	Protein and peptide secretion and trafficking	GO:0030254	protein secretion by the type III secretion system	fliQ_rel_III: type III secretion protein, HrpO family
T14	TIGR01403	Cellular processes	Pathogenesis	GO:0030254	protein secretion by the type III secretion system	fliQ_rel_III: type III secretion protein, HrpO family
T14	TIGR01401	Protein fate	Protein and peptide secretion and trafficking	GO:0030254	protein secretion by the type III secretion system	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
T14	TIGR01401	Cellular processes	Pathogenesis	GO:0030254	protein secretion by the type III secretion system	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
T15	TIGR01943	Energy metabolism	Electron transport	GO:0016020	membrane	rnfA: electron transport complex, RnfABCDGE type, A subunit
T15	TIGR01943	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfA: electron transport complex, RnfABCDGE type, A subunit
T15	TIGR01945	Energy metabolism	Electron transport	GO:0016020	membrane	rnfC: electron transport complex, RnfABCDGE type, C subunit
T15	TIGR01945	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfC: electron transport complex, RnfABCDGE type, C subunit
T15	TIGR01948	Energy metabolism	Electron transport	GO:0016021	integral component of membrane	rnfE: electron transport complex, RnfABCDGE type, E subunit
T15	TIGR01948	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfE: electron transport complex, RnfABCDGE type, E subunit
T15	TIGR01946	Energy metabolism	Electron transport	GO:0016020	membrane	rnfD: electron transport complex, RnfABCDGE type, D subunit
T15	TIGR01946	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfD: electron transport complex, RnfABCDGE type, D subunit
T15	TIGR01947	Energy metabolism	Electron transport	GO:0016020	membrane	rnfG: electron transport complex, RnfABCDGE type, G subunit
T15	TIGR01947	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfG: electron transport complex, RnfABCDGE type, G subunit
T15	TIGR01944	Energy metabolism	Electron transport	GO:0016020	membrane	rnfB: electron transport complex, RnfABCDGE type, B subunit
T15	TIGR01944	Energy metabolism	Electron transport	GO:0009055	electron transfer activity	rnfB: electron transport complex, RnfABCDGE type, B subunit
T16	TIGR01106	Energy metabolism	ATP-proton motive force interconversion			ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit
T17	TIGR00966	Protein fate	Protein and peptide secretion and trafficking	GO:0043952	protein transport by the Sec complex	3a0501s07: protein-export membrane protein SecF
T17	TIGR00966	Protein fate	Protein and peptide secretion and trafficking	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	3a0501s07: protein-export membrane protein SecF
T17	TIGR00966	Protein fate	Protein and peptide secretion and trafficking	GO:0031522	cell envelope Sec protein transport complex	3a0501s07: protein-export membrane protein SecF
T17	TIGR01129	Protein fate	Protein and peptide secretion and trafficking	GO:0043952	protein transport by the Sec complex	secD: protein-export membrane protein SecD
T17	TIGR01129	Protein fate	Protein and peptide secretion and trafficking	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	secD: protein-export membrane protein SecD
T17	TIGR01129	Protein fate	Protein and peptide secretion and trafficking	GO:0031522	cell envelope Sec protein transport complex	secD: protein-export membrane protein SecD
T17	TIGR00916	Protein fate	Protein and peptide secretion and trafficking			2A0604s01: protein-export membrane protein, SecD/SecF family
T18	TIGR00969	Transport and binding proteins	Anions	GO:0005887	integral component of plasma membrane	3a0106s02: sulfate ABC transporter, permease protein
T18	TIGR00969	Transport and binding proteins	Anions	GO:0008272	sulfate transport	3a0106s02: sulfate ABC transporter, permease protein
T18	TIGR00969	Transport and binding proteins	Anions	GO:0015419	ATPase-coupled sulfate transmembrane transporter activity	3a0106s02: sulfate ABC transporter, permease protein
T18	TIGR00969	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	3a0106s02: sulfate ABC transporter, permease protein
T18	TIGR02139	Transport and binding proteins	Anions	GO:0005887	integral component of plasma membrane	permease_CysT: sulfate ABC transporter, permease protein CysT
T18	TIGR02139	Transport and binding proteins	Anions	GO:0008272	sulfate transport	permease_CysT: sulfate ABC transporter, permease protein CysT
T18	TIGR02139	Transport and binding proteins	Anions	GO:0015419	ATPase-coupled sulfate transmembrane transporter activity	permease_CysT: sulfate ABC transporter, permease protein CysT
T18	TIGR02139	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	permease_CysT: sulfate ABC transporter, permease protein CysT
T18	TIGR02140	Transport and binding proteins	Anions	GO:0005887	integral component of plasma membrane	permease_CysW: sulfate ABC transporter, permease protein CysW
T18	TIGR02140	Transport and binding proteins	Anions	GO:0008272	sulfate transport	permease_CysW: sulfate ABC transporter, permease protein CysW
T18	TIGR02140	Transport and binding proteins	Anions	GO:0015419	ATPase-coupled sulfate transmembrane transporter activity	permease_CysW: sulfate ABC transporter, permease protein CysW
T18	TIGR02140	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	permease_CysW: sulfate ABC transporter, permease protein CysW
T19	TIGR00942	Transport and binding proteins	Cations and iron carrying compounds	GO:0005451	monovalent cation:proton antiporter activity	2a6301s05: multicomponent Na+:H+ antiporter
T19	TIGR00942	Transport and binding proteins	Cations and iron carrying compounds	GO:0015992	proton transport	2a6301s05: multicomponent Na+:H+ antiporter
T19	TIGR00942	Transport and binding proteins	Cations and iron carrying compounds	GO:0015672	monovalent inorganic cation transport	2a6301s05: multicomponent Na+:H+ antiporter
T19	TIGR01300	Transport and binding proteins	Cations and iron carrying compounds	GO:0005451	monovalent cation:proton antiporter activity	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
T19	TIGR01300	Transport and binding proteins	Cations and iron carrying compounds	GO:0015992	proton transport	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
T19	TIGR01300	Transport and binding proteins	Cations and iron carrying compounds	GO:0015672	monovalent inorganic cation transport	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
T21	TIGR02516	Protein fate	Protein and peptide secretion and trafficking			type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family
T21	TIGR02516	Cellular processes	Pathogenesis			type_III_yscC: type III secretion outer membrane pore, YscC/HrcC family
T21	TIGR02517	Protein fate	Protein and peptide secretion and trafficking	GO:0008565	protein transporter activity	type_II_gspD: type II secretion system protein D
T21	TIGR02517	Protein fate	Protein and peptide secretion and trafficking	GO:0015627	type II protein secretion system complex	type_II_gspD: type II secretion system protein D
T21	TIGR02517	Protein fate	Protein and peptide secretion and trafficking	GO:0015628	protein secretion by the type II secretion system	type_II_gspD: type II secretion system protein D
T23	TIGR00837	Transport and binding proteins	Amino acids, peptides and amines	GO:0005887	integral component of plasma membrane	araaP: aromatic amino acid transport protein
T23	TIGR00837	Transport and binding proteins	Amino acids, peptides and amines	GO:0015173	aromatic amino acid transmembrane transporter activity	araaP: aromatic amino acid transport protein
T23	TIGR00837	Transport and binding proteins	Amino acids, peptides and amines	GO:0015801	aromatic amino acid transport	araaP: aromatic amino acid transport protein
T23	TIGR00814	Transport and binding proteins	Amino acids, peptides and amines	GO:0005887	integral component of plasma membrane	stp: serine transporter
T23	TIGR00814	Transport and binding proteins	Amino acids, peptides and amines	GO:0006865	amino acid transport	stp: serine transporter
T23	TIGR00814	Transport and binding proteins	Amino acids, peptides and amines	GO:0015171	amino acid transmembrane transporter activity	stp: serine transporter
T24	TIGR02805	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	exbB2: tonB-system energizer ExbB
T24	TIGR02805	Transport and binding proteins	Cations and iron carrying compounds	GO:0016020	membrane	exbB2: tonB-system energizer ExbB
T24	TIGR02805	Transport and binding proteins	Cations and iron carrying compounds	GO:0015570	secondary active transmembrane transporter activity	exbB2: tonB-system energizer ExbB
T24	TIGR02805	Transport and binding proteins	Cations and iron carrying compounds	GO:0015078	hydrogen ion transmembrane transporter activity	exbB2: tonB-system energizer ExbB
T25	TIGR00913	Transport and binding proteins	Amino acids, peptides and amines			2A0310: amino acid permease (yeast)
T25	TIGR00930	Transport and binding proteins	Other			2a30: K-Cl cotransporter
T26	TIGR00905	Transport and binding proteins	Amino acids, peptides and amines	GO:0005887	integral component of plasma membrane	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
T26	TIGR00905	Transport and binding proteins	Amino acids, peptides and amines	GO:0005275	amine transmembrane transporter activity	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
T26	TIGR00905	Transport and binding proteins	Amino acids, peptides and amines	GO:0015837	amine transport	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
T26	TIGR00911	Transport and binding proteins	Amino acids, peptides and amines			2A0308: L-type amino acid transporter
T26	TIGR00906	Transport and binding proteins	Amino acids, peptides and amines			2A0303: cationic amino acid transport permease
T27	TIGR00437	Transport and binding proteins	Cations and iron carrying compounds	GO:0015639	ferrous iron transmembrane transporter activity	feoB: ferrous iron transport protein B
T27	TIGR00437	Transport and binding proteins	Cations and iron carrying compounds	GO:0015684	ferrous iron transport	feoB: ferrous iron transport protein B
T28	TIGR00804	Transport and binding proteins	Nucleosides, purines and pyrimidines	GO:0005887	integral component of plasma membrane	nupC: nucleoside transporter, NupC family
T28	TIGR00804	Transport and binding proteins	Nucleosides, purines and pyrimidines	GO:0005337	nucleoside transmembrane transporter activity	nupC: nucleoside transporter, NupC family
T28	TIGR00804	Transport and binding proteins	Nucleosides, purines and pyrimidines	GO:0015858	nucleoside transport	nupC: nucleoside transporter, NupC family
T29	TIGR01414	Protein fate	Protein and peptide secretion and trafficking	GO:0009405	pathogenesis	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Protein fate	Protein and peptide secretion and trafficking	GO:0015474	autotransporter activity	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Protein fate	Protein and peptide secretion and trafficking	GO:0045203	integral component of cell outer membrane	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Protein fate	Protein and peptide secretion and trafficking	GO:0046819	protein secretion by the type V secretion system	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Cellular processes	Pathogenesis	GO:0009405	pathogenesis	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Cellular processes	Pathogenesis	GO:0015474	autotransporter activity	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Cellular processes	Pathogenesis	GO:0045203	integral component of cell outer membrane	autotrans_barl: outer membrane autotransporter barrel domain
T29	TIGR01414	Cellular processes	Pathogenesis	GO:0046819	protein secretion by the type V secretion system	autotrans_barl: outer membrane autotransporter barrel domain
T30	TIGR00841	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0008508	bile acid:sodium symporter activity	bass: bile acid transporter
T30	TIGR00841	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015721	bile acid and bile salt transport	bass: bile acid transporter
T31	TIGR01184	Transport and binding proteins	Other	GO:0005524	ATP binding	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Other	GO:0009898	cytoplasmic side of plasma membrane	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Other	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Other	GO:0015414	ATPase-coupled nitrate transmembrane transporter activity	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Other	GO:0015706	nitrate transport	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Anions	GO:0005524	ATP binding	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Anions	GO:0009898	cytoplasmic side of plasma membrane	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Anions	GO:0015414	ATPase-coupled nitrate transmembrane transporter activity	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T31	TIGR01184	Transport and binding proteins	Anions	GO:0015706	nitrate transport	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T32	TIGR00727	Transport and binding proteins	Amino acids, peptides and amines	GO:0015198	oligopeptide transmembrane transporter activity	ISP4_OPT: small oligopeptide transporter, OPT family
T33	TIGR02314			GO:0005524	ATP binding	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
