Compound_cat1	Compound_cat2	Compound	Transporter	TransportCluster	Family	Desc	Comment	
ABC-transporters	ABC-transporters			T20.57	COG4586	ABC-type uncharacterized transport system, ATPase component		
ABC-transporters	ABC-transporters			T20.58	COG0488	ATPase components of ABC transporters with duplicated ATPase domains		
ABC-transporters	ABC-transporters			T20.60	COG4674	Uncharacterized ABC-type transport system, ATPase component		
Lipids and fatty-acids	Long-chain fatty acids			T20.8	COG4178	ABC-type uncharacterized transport system, permease and ATPase components		
ABC-transporters	ABC-transporters			T200	PF13346	ABC-2 family transporter protein		
ABC-transporters	ABC-transporters			T201	PF14510	ABC-transporter extracellular N-terminal		
ABC-transporters	ABC-transporters			T202	COG4986	ABC-type anion transport system, duplicated permease component		
ABC-transporters	ABC-transporters			T204	COG4619	ABC-type uncharacterized transport system, ATPase component		
ABC-transporters	ABC-transporters			T205	COG3683	ABC-type uncharacterized transport system, periplasmic component		
ABC-transporters	ABC-transporters			T206	COG4533	ABC-type uncharacterized transport system, periplasmic component		
ABC-transporters	ABC-transporters			T210	PF05975	Bacterial ABC transporter protein EcsB		
ABC-transporters	ABC-transporters			T212	PF06422	CDR ABC transporter		
ABC-transporters	ABC-transporters			T230	PF08370	Plant PDR ABC transporter associated		
ABC-transporters	ABC-transporters			T232	COG4473	Predicted ABC-type exoprotein transport system, permease component		
ABC-transporters	ABC-transporters			T43	PF06182	ABC-2 family transporter protein		
ABC-transporters	ABC-transporters			T43	COG3694	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T43	COG4587	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T65	COG2984	ABC-type uncharacterized transport system, periplasmic component		
ABC-transporters	ABC-transporters			T65	PF04392	ABC transporter substrate binding protein		
ABC-transporters	ABC-transporters			T7.4	COG4603	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T7.4	COG1079	Uncharacterized ABC-type transport system, permease component		
ABC-transporters	ABC-transporters			T7.5	COG4120	ABC-type uncharacterized transport system, permease component		
Acids	Benzoate			T103	COG2978	Putative p-aminobenzoyl-glutamate transporter		
Acids	Benzoate			T103	TIGR00819	ydaH: AbgT transporter family		
Acids	Benzoate			T103	PF03806	AbgT putative transporter family		
Acids	Benzoate			T68	TIGR00843	benE: benzoate transporter		
Acids	Benzoate			T68	PF03594	Benzoate membrane transport protein		
Acids	Bile acid			T165	PF03619	Organic solute transporter Ostalpha		
Acids	Bile acid			T2	TIGR00841	bass: bile acid transporter		
Acids	Bile acid			T2	COG0385	Predicted Na+-dependent transporter		
Acids	Bile acid			T2	PF13593	SBF-like CPA transporter family (DUF4137)		
Acids	Bile acid			T2	PF01758	Sodium Bile acid symporter family		
Acids	Citrate		citMHS	T63	TIGR00784	citMHS: citrate transporter	Blueprint Marker	
Acids	Citrate		citMHS	T63	COG2851	H+/citrate symporter	Blueprint Marker	
Acids	Citrate		citMHS	T63	COG3493	Na+/citrate symporter	Blueprint Marker	
Acids	Citrate		citMHS	T63	PF03600	Citrate transporter	Blueprint Marker	
Amino acids, general	Alanine			T106.17	COG1696	Predicted membrane protein involved in D-alanine export		
Amino acids, general	Alanine			T106.18	COG1115	Na+/alanine symporter		
Amino acids, general	Alanine			T106.18	PF01235	Sodium:alanine symporter family		
Amino acids, general	Amino acids			T106.10	TIGR00911	2A0308: L-type amino acid transporter		
Amino acids, general	Amino acids			T106.16	TIGR03802	Asp_Ala_antiprt: aspartate-alanine antiporter		
Amino acids, general	Amino acids			T106.16	COG2985	Predicted permease		
Amino acids, general	Amino acids			T106.16	PF06826	Predicted Permease Membrane Region		
Amino acids, general	Amino acids			T106.19	COG0814	Amino acid permeases		
Amino acids, general	Amino acids			T106.19	TIGR00837	araaP: aromatic amino acid transport protein		
Amino acids, general	Amino acids			T106.19	PF01490	Transmembrane amino acid transporter protein		
Amino acids, general	Amino acids			T106.19	PF03222	Tryptophan/tyrosine permease family		
Amino acids, general	Amino acids			T106.20	TIGR00907	2A0304: amino acid permease		
Amino acids, general	Amino acids			T106.21	TIGR00912	2A0309: spore germination protein (amino acid permease)		
Amino acids, general	Amino acids			T106.22	TIGR00913	2A0310: amino acid permease (yeast)		
Amino acids, general	Amino acids			T106.23	PF08403	Amino acid permease N-terminal		
Amino acids, general	Amino acids			T106.24	COG0833	Amino acid transporters		
Amino acids, general	Amino acids			T106.26	PF14738	Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1		
Amino acids, general	Amino acids			T106.4	PF00324	Amino acid permease		
Amino acids, general	Amino acids			T106.4	PF13520	Amino acid permease		
Amino acids, general	Amino acids			T106.4	COG0531	Amino acid transporters		
Amino acids, general	Amino acids			T106.5	TIGR01773	GABAperm: GABA permease		
Amino acids, general	Amino acids			T106.5	COG1113	Gamma-aminobutyrate permease and related permeases		
Amino acids, general	Amino acids			T106.6	TIGR00905	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family		
Amino acids, general	Amino acids			T106.7	TIGR00906	2A0303: cationic amino acid transport permease		
Amino acids, general	Amino acids			T106.8	TIGR00908	2A0305: ethanolamine permease		
Amino acids, general	Amino acids			T106.9	TIGR00909	2A0306: amino acid transporter		
Amino acids, general	Amino acids			T157	TIGR00750	lao: LAO/AO transport system ATPase		
Amino acids, general	Amino acids			T20.17	TIGR03871	ABC_peri_MoxJ_2: quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein		
Amino acids, general	Amino acids			T20.17	COG0834	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain		
Amino acids, general	Amino acids			T20.17	PF00497	Bacterial extracellular solute-binding proteins, family 3		
Amino acids, general	Arginine|Histidine			T20.18	COG4215	ABC-type arginine transport system, permease component		
Amino acids, general	Arginine|Histidine			T20.18	COG4160	ABC-type arginine/histidine transport system, permease component		
Amino acids, general	Arginine|Histidine			T20.18	COG4161	ABC-type arginine transport system, ATPase component		
Amino acids, general	Cystine			T140	TIGR00951	2A43: lysosomal Cystine Transporter		
Amino acids, general	Leucine			T106.25	PF12209	Leucine permease transcriptional regulator helical domain		
Amino acids, general	Serine			T106.27	TIGR00814	stp: serine transporter		
Amino acids, general	Serine|Threonine			T100	TIGR00949	2A76: homoserine/Threonine efflux protein		
Amino acids, general	Serine|Threonine			T100	COG1280	Putative threonine efflux protein		
Amino acids, general	Taurine		tauABC	T20.16	COG4525	ABC-type taurine transport system, ATPase component	Blueprint Marker	
Amino acids, general	Taurine		tauABC	T20.16	COG4521	ABC-type taurine transport system, periplasmic component	Blueprint Marker	
Amino acids, general	Taurine		tauABC	T20.16	TIGR01729	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein	Blueprint Marker	
Amino acids, branched chain	Amino acids			T106.1	COG1114	Branched-chain amino acid permeases		
Amino acids, branched chain	Amino acids			T106.1	PF05525	Branched-chain amino acid transport protein		
Amino acids, branched chain	Amino acids			T106.1	TIGR00796	livcs: branched-chain amino acid transport system II carrier protein		
Amino acids, branched chain	Amino acids			T106.13	COG1137	ABC-type (unclassified) transport system, ATPase component		
Amino acids, branched chain	Amino acids			T106.13	PF12399	Branched-chain amino acid ATP-binding cassette transporter		
Amino acids, branched chain	Amino acids			T106.13	PF02653	Branched-chain amino acid transport system / permease component		
Amino acids, branched chain	Amino acids		natA/natC	T106.14	COG4177	ABC-type branched-chain amino acid transport system, permease component	Blueprint marker	
Amino acids, branched chain	Amino acids		natA/natC	T106.14	COG0411	ABC-type branched-chain amino acid transport systems, ATPase component	Blueprint marker	
Amino acids, branched chain	Amino acids		natA/natC	T106.14	COG0410	ABC-type branched-chain amino acid transport systems, ATPase component	Blueprint marker	
Amino acids, branched chain	Amino acids		natA/natC	T106.14	COG0683	ABC-type branched-chain amino acid transport systems, periplasmic component	Blueprint marker	
Amino acids, branched chain	Amino acids		natA/natC	T106.14	COG0559	Branched-chain amino acid ABC-type transport system, permease components	Blueprint marker	
Amino acids, branched chain	Amino acids			T106.15	PF05437	Branched-chain amino acid transport protein (AzlD)		
Amino acids, branched chain	Amino acids			T106.15	COG1687	Predicted branched-chain amino acid permeases (azaleucine resistance)		
Amino acids, branched chain	Amino acids			T106.15	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)		
Amino acids, branched chain	Amino acids			T106.2	COG4597	ABC-type amino acid transport system, permease component		
Amino acids, branched chain	Amino acids			T106.2	COG0765	ABC-type amino acid transport system, permease component		Carbohydrate
Amino acids, branched chain	Amino acids			T106.2	TIGR01726	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family		
Amino acids, branched chain	Amino acids			T106.3	COG1126	ABC-type polar amino acid transport system, ATPase component		
Amino Acids, di- and oligo-peptides	Peptides			T107.6	TIGR00926	2A1704: oligopeptide transporter, peptide:H+ symporter		
Amino Acids, di- and oligo-peptides	Peptides			T221	TIGR00727	ISP4_OPT: small oligopeptide transporter, OPT family		
Amino Acids, di- and oligo-peptides	Peptides			T38	PF03169	OPT oligopeptide transporter protein		
Amino Acids, di- and oligo-peptides	Peptides			T38	TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily		
Amino Acids, di- and oligo-peptides	Peptides			T38	TIGR00733	TIGR00733: oligopeptide transporter, OPT family		
Amino Acids, di- and oligo-peptides	Peptides			T92	TIGR00924	yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)		
Amino Acids, di- and oligo-peptides	Peptides			T92	COG3104	Dipeptide/tripeptide permease		
Amino Acids, di- and oligo-peptides	Proteins			T32	TIGR00966	3a0501s07: protein-export membrane protein SecF		
Amino Acids, di- and oligo-peptides	Proteins			T32	PF02355	Protein export membrane protein		
Amino Acids, di- and oligo-peptides	Proteins			T32	COG0805	Sec-independent protein secretion pathway component TatC		
Amino Acids, di- and oligo-peptides	Proteins			T32	COG1826	Sec-independent protein secretion pathway components		
Amino Acids, di- and oligo-peptides	Proteins			T32	TIGR00809	secB: protein-export chaperone SecB		
Amino Acids, di- and oligo-peptides	Proteins			T32	PF13721	SecD export protein N-terminal TM region		
Amino Acids, di- and oligo-peptides	Proteins			T32	TIGR01129	secD: protein-export membrane protein SecD		
Amino Acids, di- and oligo-peptides	Proteins			T32	TIGR00916	2A0604s01: protein-export membrane protein, SecD/SecF family		
Amino acids, general	Glutamate			T80	TIGR00210	gltS: sodium/glutamate symporter		
Amino acids, general	Glutamate			T80	COG0786	Na+/glutamate symporter		
Amino acids, general	Glutamate			T80	PF03616	Sodium/glutamate symporter		
Amino acids, general	Glutamate			T81	TIGR00910	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter		
Amino acids, general	Glutamate			T81	TIGR03813	put_Glu_GABA_T: putative glutamate/gamma-aminobutyrate antiporter		
Amino acids, general	Histidine			T20.45	COG4598	ABC-type histidine transport system, ATPase component		
Amino acids, general	Lysine			T91	TIGR00948	2a75: L-lysine exporter		
Amino acids, general	Lysine			T91	COG1279	Lysine efflux permease		
Amino acids, general	Methionine			T20.47	TIGR02314	ABC_MetN: D-methionine ABC transporter, ATP-binding protein		
Antibiotics	Antibiotics			T163	COG2095	Multiple antibiotic transporter		
Antibiotics	Antibiotics			T187	COG1136	ABC-type antimicrobial peptide transport system, ATPase component		
Antibiotics	Antibiotics			T187	COG4167	ABC-type antimicrobial peptide transport system, ATPase component		
Antibiotics	Antibiotics			T187	COG4170	ABC-type antimicrobial peptide transport system, ATPase component		
Antibiotics	Antibiotics			T187	COG4168	ABC-type antimicrobial peptide transport system, permease component		
Antibiotics	Antibiotics			T187	COG4171	ABC-type antimicrobial peptide transport system, permease component		
Antibiotics	Bacteroicin			T12.2	PF00529	HlyD family secretion protein	1	
Antibiotics	Bacteroicin			T12.12	PF12700	HlyD family secretion protein	2	
Antibiotics	Bacteroicin			T12.2	PF13437	HlyD family secretion protein	1	
Antibiotics	Bacteroicin			T12.2	TIGR03796	NHLM_micro_ABC1: NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein	1	
Antibiotics	Bacteroicin			T12.13	TIGR03797	NHLM_micro_ABC2: NHLM bacteriocin system ABC transporter, ATP-binding protein	4	
Antibiotics	Bacteroicin			T12.11	TIGR03794	NHLM_micro_HlyD: NHLM bacteriocin system secretion protein	3	
Antibiotics	Bacteroicin			T12.4	TIGR00958	3a01208: antigen peptide transporter 2		
Antibiotics	Bacteroicin			T12.4	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain		
Antibiotics	Bacteroicin			T12.4	COG1132	ABC-type multidrug transport system, ATPase and permease components		
Antibiotics	Bacteroicin			T12.4	COG1131	ABC-type multidrug transport system, ATPase component		
Antibiotics	Bacteroicin			T12.4	TIGR02203	MsbA_lipidA: lipid A export permease/ATP-binding protein MsbA		
Antibiotics	Bacteroicin			T12.4	TIGR02204	MsbA_rel: ABC transporter, permease/ATP-binding protein		
Antibiotics	Bacteroicin			T12.5	TIGR01193	bacteriocin_ABC: ABC-type bacteriocin transporter		
Antibiotics	Bacteroicin			T12.5	TIGR01000	bacteriocin_acc: bacteriocin secretion accessory protein		
Antibiotics	Bacteroicin			T12.5	TIGR03896	cyc_nuc_ocin: bacteriocin-type transport-associated protein		
Antibiotics	Bacteroicin			T12.5	TIGR01295	PedC_BrcD: putative bacteriocin transport accessory protein		
Antibiotics	Bacteroicin			T20.43	TIGR03608	L_ocin_972_ABC: putative bacteriocin export ABC transporter, lactococcin 972 group		
Antibiotics	Chloramphenicol			T60.3	COG3896	Chloramphenicol 3-O-phosphotransferase		
Antibiotics	Chloramphenicol			T60.3	PF07931	Chloramphenicol phosphotransferase-like protein		
Antibiotics	Colicin			T226	COG3064	Membrane protein involved in colicin uptake		
Antibiotics	Daunorubicin			T20.22	TIGR01188	drrA: daunorubicin resistance ABC transporter, ATP-binding protein	Different from drrC	
Antibiotics	Daunorubicin			T20.22	TIGR01247	drrB: daunorubicin resistance ABC transporter membrane protein	Different from drrC	
Antibiotics	Daunorubicin			T20.22	TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family		
Antibiotics	Enterobactin			T139	COG4604	ABC-type enterochelin transport system, ATPase component		
Antibiotics	Enterobactin			T139	COG4607	ABC-type enterochelin transport system, periplasmic component		
Antibiotics	Enterobactin			T139	COG4605	ABC-type enterochelin transport system, permease component		
Antibiotics	Enterobactin			T139	COG4606	ABC-type enterochelin transport system, permease component		
Antibiotics	Enterobactin			T203	COG4779	ABC-type enterobactin transport system, permease component		
Antibiotics	Enterotoxin			T217	PF09075	Heat-stable enterotoxin B, secretory		
Antibiotics	Gallidermin			T20.59	TIGR03740	galliderm_ABC: lantibiotic protection ABC transporter, ATP-binding subunit		
Antibiotics	Lantibiotic			T114	TIGR03732	lanti_perm_MutE: lantibiotic protection ABC transporter permease subunit, MutE/EpiE family		
Antibiotics	Lantibiotic			T114	TIGR03733	lanti_perm_MutG: lantibiotic protection ABC transporter permease subunit, MutG family		
Carbohydrates	Polysaccharides			T127	PF13372	Alginate export		
Carbohydrates	Polysaccharides			T138	TIGR01192	chvA: glucan exporter ATP-binding protein		
Carbohydrates	Alcohols			T153	COG0580	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)		
Carbohydrates	Alcohols			T197	TIGR00897	2A0118: polyol permease		
Carbohydrates	Alcohols			T20.28	TIGR03861	phenyl_ABC_PedC: alcohol ABC transporter, permease protein		
Carbohydrates	Alcohols			T20.42	TIGR03864	PQQ_ABC_ATP: ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system		
Carbohydrates	Alcohols			T20.41	TIGR03863	PQQ_ABC_bind: ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system		
Carbohydrates	Bicarbonate			T48.1	PF00955	HCO3- transporter family		
Carbohydrates	Bicarbonate			T48.2	TIGR00947	2A73: putative bicarbonate transporter, IctB family		
Carbohydrates	Bicarbonate		sbtA	T48.3	PF05982	Sodium dependent bicarbonate transporter	Blueprint Marker	
Carbohydrates	Bicarbonate		sbtA	T48.3	COG3329	Sodium dependent bicarbonate transporter	Blueprint Marker	
Carbohydrates	Sugars			T19.1	TIGR00895	2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family		
Carbohydrates	Fucose|Glucose			T19.9	COG0738	Fucose permease		
Carbohydrates	Fucose|Glucose			T19.9	TIGR00885	fucP: L-fucose:H+ symporter permease		
Carbohydrates	Fucose|Glucose			T19.9	TIGR01272	gluP: glucose/galactose transporter WARNING		
Carbohydrates	Glucose|Galactose			T189.1	COG4211	ABC-type glucose/galactose transport system, permease component		
Carbohydrates	Glucose|Galactose			T189.2	COG4975	Putative glucose uptake permease		
Carbohydrates	Glycerol-3-phosphate			T19.13	TIGR00712	glpT: glycerol-3-phosphate transporter		
Carbohydrates	Maltose			T20.11	COG3833	ABC-type maltose transport systems, permease component		
Carbohydrates	Maltose			T224	PF14785	Maltose transport system permease protein MalF P2 domain		
Carbohydrates	Oligosaccharide			T107.5	TIGR00882	2A0105: oligosaccharide:H+ symporter		
Carbohydrates	Phosphoglycerate			T246	COG4192	Signal transduction histidine kinase regulating phosphoglycerate transport system		
Carbohydrates	Phosphoglycerate			T60.2	PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase		
Carbohydrates	Polysaccharides			T87.1	PF03739	Predicted permease YjgP/YjgQ family		
Carbohydrates	Polysaccharides			T87.1	COG0795	Predicted permeases		
Carbohydrates	Polysaccharides			T87.1	TIGR04406	LPS_export_lptB: LPS export ABC transporter ATP-binding protein		
Carbohydrates	Polysaccharides			T87.1	TIGR04409	LptC_YrbK: LPS export ABC transporter periplasmic protein LptC		
Carbohydrates	Polysaccharides			T87.1	TIGR04407	LptF_YjgP: LPS export ABC transporter permease LptF		
Carbohydrates	Polysaccharides			T87.1	TIGR04408	LptG_lptG: LPS export ABC transporter permease LptG		
Carbohydrates	Polysaccharides			T87.1	TIGR03002	outer_YhbN_LptA: lipopolysaccharide transport periplasmic protein LptA		
Carbohydrates	Polysaccharides			T87.1	PF06835	Lipopolysaccharide-assembly, LptC-related		
Carbohydrates	Polysaccharides			T87.1	PF04453	Organic solvent tolerance protein		
Carbohydrates	Polysaccharides			T87.2	COG3524	Capsule polysaccharide export protein		
Carbohydrates	Polysaccharides			T87.2	TIGR01010	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family		
Carbohydrates	Polysaccharides			T87.2	COG3562	Capsule polysaccharide export protein		
Carbohydrates	Polysaccharides			T87.2	COG3563	Capsule polysaccharide export protein		
Carbohydrates	Polysaccharides			T87.3	COG4209	ABC-type polysaccharide transport system, permease component		
Carbohydrates	Polysaccharides			T87.4	TIGR01006	polys_exp_MPA1: polysaccharide export protein, MPA1 family		
Carbohydrates	Polysaccharides			T87.4	TIGR01005	eps_transp_fam: exopolysaccharide transport protein family		
Carbohydrates	Polysaccharides			T87.5	TIGR03028	EpsE: polysaccharide export protein EpsE		
Carbohydrates	Polysaccharides			T87.8	TIGR03025	EPS_sugtrans: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase		
Carbohydrates	Polysaccharides			T87.7	TIGR03027	pepcterm_export: putative polysaccharide export protein, PEP-CTERM sytem-associated		
Carbohydrates	Polysaccharides			T87.7	COG1596	Periplasmic protein involved in polysaccharide export		
Carbohydrates	Polysaccharides			T87.7	PF02563	Polysaccharide biosynthesis/export protein		
Carbohydrates	Rhamnose			T88	TIGR02637	RhaS: rhamnose ABC transporter, rhamnose-binding protein		
Carbohydrates	Rhamnose			T88	TIGR00776	RhaT: RhaT L-rhamnose-proton symporter family protein		
Carbohydrates	Rhamnose			T88	PF06379	L-rhamnose-proton symport protein (RhaT)		
Carbohydrates	Ribose|Xylose			T7.7	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components		
Carbohydrates	Ribose|Xylose			T7.7	PF05025	RbsD / FucU transport protein family		
Carbohydrates	Ribose|Xylose			T7.7	COG1869	ABC-type ribose transport system, auxiliary component		
Carbohydrates	Silicon		sit	T82	PF03842	Silicon transporter	Blueprint marker	
Carbohydrates	Silicon		sit	T82	TIGR00811	sit: silicon transporter	Blueprint marker	
Carbohydrates	Sugars			T112.1	TIGR00899	2A0120: sugar efflux transporter		
Carbohydrates	Sugars			T112.2	PF03083	Sugar efflux transporter for intercellular exchange		
Carbohydrates	Sugars			T112.3	PF06800	Sugar transport protein		
Carbohydrates	Sugars			T112.4	PF12793	Sugar transport-related sRNA regulator N-term		
Carbohydrates	Sugars			T112.5	PF01306	LacY proton/sugar symporter		
Carbohydrates	Sugars			T112.6	PF13856	ATP-binding sugar transporter from pro-phage		
Carbohydrates	Sugars			T14.1	COG1129	ABC-type sugar transport system, ATPase component		
Carbohydrates	Sugars			T14.1	COG1879	ABC-type sugar transport system, periplasmic component		
Carbohydrates	Sugars			T14.1	COG3822	ABC-type sugar transport system, auxiliary component		
Carbohydrates	Xylose			T14.2	COG3845	ABC-type uncharacterized transport systems, ATPase components		
Carbohydrates	Sugars			T14.3	COG4158	Predicted ABC-type sugar transport system, permease component		
Carbohydrates	Sugars			T14.4	COG0395	ABC-type sugar transport system, permease component		
Carbohydrates	Sugars			T14.5	COG3839	ABC-type sugar transport systems, ATPase components		
Carbohydrates	Sugars			T19	COG2814	Arabinose efflux permease		
Carbohydrates	Sugars			T19.1	TIGR00879	SP: MFS transporter, sugar porter (SP) family		
Carbohydrates	Sugars			T19.1	PF00083	Sugar (and other) transporter		
Carbohydrates	Sugars			T19.3	TIGR01301	GPH_sucrose: sucrose/H+ symporter		
Carbohydrates	Sugars			T19.3	TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter		
Carbohydrates	Sugars			T19.3	PF13347	MFS/sugar transport protein		
Carbohydrates	Sugars			T19.3	COG2211	Na+/melibiose symporter and related transporters		
Carbohydrates	Sugars			T20.36	COG1653	ABC-type sugar transport system, periplasmic component		
Carbohydrates	Sugars			T20.36	COG1175	ABC-type sugar transport systems, permease components		
Carbohydrates	Sugars			T20.36	TIGR03850	bind_CPR_0540: carbohydrate ABC transporter substrate-binding protein, CPR_0540 family		
Carbohydrates	Sugars			T20.36	TIGR03851	chitin_NgcE: carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein		
Carbohydrates	Sugars			T19.1	TIGR00883	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein		
Carbohydrates	Xylose			T14.2	COG4213	ABC-type xylose transport system, periplasmic component		
Carbohydrates	Xylose			T14.2	TIGR02634	xylF: D-xylose ABC transporter, D-xylose-binding protein		
Carbohydrates	Xylose			T14.2	TIGR02633	xylG: D-xylose ABC transporter, ATP-binding protein		
Carbohydrates	Xylose			T7.6	COG4214	ABC-type xylose transport system, permease component		
Carbohydrates	Phosphotransferase system			T60.5	TIGR02137	HSK-PSP: phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein		
Carbohydrates	Phosphotransferase system		PTS	T60.10	COG1299	Phosphotransferase system, fructose-specific IIC component		
Carbohydrates	Phosphotransferase system		PTS	T60.10	COG1445	Phosphotransferase system fructose-specific component IIB		
Carbohydrates	Phosphotransferase system		PTS	T60.13	COG2213	Phosphotransferase system, mannitol-specific IIBC component		
Carbohydrates	Phosphotransferase system		PTS	T60.13	PF02378	Phosphotransferase system, EIIC		
Carbohydrates	Phosphotransferase system		PTS	T60.13	COG1762	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)		
Carbohydrates	Phosphotransferase system		PTS	T60.13	COG2893	Phosphotransferase system, mannose/fructose-specific component IIA		
Carbohydrates	Phosphotransferase system		PTS	T60.13	PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2		
Carbohydrates	Phosphotransferase system		PTS	T60.13	COG4668	Mannitol/fructose-specific phosphotransferase system, IIA domain		
Carbohydrates	Phosphotransferase system		PTS	T60.13	COG1925	Phosphotransferase system, HPr-related proteins		
Carbohydrates	Phosphotransferase system		PTS	T60.13	TIGR01417	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase		
Carbohydrates	Phosphotransferase system		PTS	T60.11	COG3731	Phosphotransferase system sorbitol-specific component IIA		
Carbohydrates	Phosphotransferase system		PTS	T60.11	COG3414	Phosphotransferase system, galactitol-specific IIB component		
Carbohydrates	Phosphotransferase system		PTS	T60.11	COG3730	Phosphotransferase system sorbitol-specific component IIC		
Carbohydrates	Phosphotransferase system		PTS	T60.11	COG3732	Phosphotransferase system sorbitol-specific component IIBC		
Carbohydrates	Phosphotransferase system		PTS	T60.11	PF07663	Sorbitol phosphotransferase enzyme II C-terminus		
Carbohydrates	Phosphotransferase system		PTS	T60.11	PF03612	Sorbitol phosphotransferase enzyme II N-terminus		
Carbohydrates	Phosphotransferase system		PTS	T60.14	COG3444	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB		
Carbohydrates	Phosphotransferase system		PTS	T60.14	COG3715	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC		
Carbohydrates	Phosphotransferase system		PTS	T60.14	COG3716	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID		
Carbohydrates	Phosphotransferase system		PTS	T60.15	COG1455	Phosphotransferase system cellobiose-specific component IIC		
Carbohydrates	Phosphotransferase system		PTS	T60.15	COG1440	Phosphotransferase system cellobiose-specific component IIB		
